,year,tair_mean,tair_std,nirr_mean,nirr_std,precip_sum,vapor_press_mean,vapor_press_std
60,2085,6.2,12.384961457092606,104.26066,94.14462933838062,450.0,730.8333,474.08204762339176
61,2086,6.5,10.370938371280385,90.68414,82.09759658513875,579.0,749.1667,491.68466773169854
62,2087,8.325,9.814935257600153,98.819405,87.05057626987426,519.0,816.6667,521.4025375754105
63,2088,8.233334,9.214152415685245,98.28648,88.86407938374724,585.0,775.8333,474.94415279541647
64,2089,8.95,10.668773512604352,103.119316,97.02412561532809,475.0,827.5,569.9621246262994
65,2090,5.5666666,13.525688284795935,97.20281,85.3416470502086,601.0,750.8333,551.6826512857551
66,2091,5.8666663,10.414354695091227,90.18729,80.62773077038418,660.0,760.0,540.8747124292784
67,2092,8.083333,8.643950437196818,96.474075,87.9444095426214,684.0,794.1667,474.0053361134595
68,2093,5.7166667,10.489807521482245,95.29719,88.37715844842953,673.0,690.8333,454.72185970873414
69,2094,5.625,10.003192628126634,91.19547,83.194035789019,702.0,700.8333,457.51221466055966
70,2095,6.858333,12.43100642322746,108.358864,101.12840061461218,481.0,727.5,494.9954086104785
71,2096,8.108334,10.040052288052436,95.07301,87.48136047092191,752.0,818.3333,507.23552595207565
72,2097,4.8583336,11.570845860816302,86.93057,72.22556774350407,694.0,739.1667,528.4877132760224
73,2098,6.5,11.75492162446532,90.0096,78.46389595267193,572.0,770.0,526.5841914115265
74,2099,7.275,9.85089988686288,99.63075,93.11018617210726,636.0,751.6667,491.50662461514514
75,2100,6.3,11.28377747011418,95.52433,82.68968998968678,705.0,761.6667,511.35885421089034
